study_id,pubmed_id
3302,29143869.0
91,6601463.0
9314,
4943,
7051,
3363,
7426,16163532.0
5545,
3452,29782960.0
4684,11343683.0
4576,10463321.0
8240,36299539.0
6877,15465973.0
7710,17548754.0
3451,31095995.0
6377,29515449.0
5459,10367560.0
5717,15221201.0
8536,16128720.0
5177,11565625.0
8811,11205419.0
6159,
7815,
1846,
4423,35923458.0
3962,17476480.0
8429,
8503,
3774,16510486.0
5419,20389132.0
9084,37264814.0
201,33860184.0
5227,28768346.0
8535,12632248.0
1765,22717030.0
50,
8888,37166623.0
7305,12047486.0
7050,
8318,8297216.0
4356,25281223.0
7392,
1841,12706227.0
5118,37897244.0
4944,
5808,
7060,27091970.0
7312,16575552.0
2602,
7062,
6693,
8413,
700,23001254.0
5812,11862362.0
1938,
1135,36545240.0
5470,15088077.0
927,
6717,
3097,15893163.0
975,20084368.0
7210,
7280,16574713.0
9051,23241648.0
1295,30717615.0
7276,
824,
8644,25563444.0
3680,17605005.0
3479,12404540.0
1952,
3807,18635709.0
6718,
7389,10958112.0
2913,
7713,19823808.0
2807,24015828.0
5546,
41856690,41856690.0
6724,10821995.0
7427,14652710.0
6720,
1747,11331033.0
3336,
41848690,41848690.0
2682,12110998.0
2684,11769821.0
4755,27599522.0
3649,
9034,24682132.0
9469,
7123,
1633,37530403.0
7742,25052243.0
4644,18974173.0
5816,11105933.0
8740,21562484.0
4638,16272186.0
5803,14603267.0
4656,28372480.0
3956,
6436,
8810,
3107,12921915.0
7796,
4636,24972084.0
4631,
1388,23435274.0
4635,22946487.0
502,15168910.0
4652,
6941,19351799.0
6137,
3480,12404570.0
7071,
3096,10811694.0
1939,
9522,32763531.0
988,23793226.0
6914,19946940.0
7362,24080019.0
8138,18635698.0
2232,22871531.0
2627,
9114,24190587.0
7360,23803689.0
719,
9039,10832513.0
7367,25066866.0
7365,26333432.0
2176,
3285,
6723,24333019.0
1848,12404543.0
657,34603053.0
1040,37749109.0
3963,
6563,38069478.0
2031,22147810.0
5020,7573905.0
556,35429526.0
8295,21154218.0
8196,26979587.0
8415,33648632.0
4532,23976938.0
3645,18562599.0
4143,33479342.0
9282,
8682,30105399.0
423,28939573.0
1722,37949934.0
7391,
5704,
2178,2880948.0
7546,31203401.0
1750,12759801.0
5468,
3410,35031816.0
6986,30726251.0
7361,23532375.0
7155,35370864.0
9225,
8365,
7656,
1688,16782178.0
4035,32139811.0
8398,36001643.0
2154,
985,36962494.0
5524,31843628.0
8325,
87,12634489.0
6191,
3511,35253517.0
1864,32704581.0
3548,11105938.0
6845,33967757.0
7381,33843820.0
6123,
6264,
1345,37468572.0
6198,
4096,34983249.0
8679,31822925.0
3304,
3840,
2167,37606733.0
4587,
4473,35672900.0
4884,
1269,22308440.0
2360,30816797.0
1814,31521869.0
4807,
2954,31928949.0
6008,
3678,
8432,34803754.0
8606,32900266.0
2956,35728680.0
1989,37003409.0
2223,19164498.0
991,25637267.0
4470,37160885.0
6220,
5894,37076582.0
8387,10989856.0
2878,30819549.0
7097,
6474,
1109,
8696,27039035.0
7370,19631624.0
7454,31294673.0
7368,20417713.0
7158,
7782,22209360.0
6498,
8219,36373934.0
283,18562414.0
8430,24989126.0
1513,15682309.0
4693,25313512.0
8364,15671133.0
382,36789509.0
6891,11818769.0
1793,12955295.0
3835,
2474,15922511.0
1360,35918311.0
4789,36193898.0
6449,29487402.0
3839,
2830,
7328,12742139.0
5230,22704044.0
2430,29748628.0
3337,21205042.0
5761,20521322.0
7424,15741482.0
4367,
393,
7643,35676541.0
4854,11119398.0
8825,
207,31978933.0
1912,27729865.0
2004,31275104.0
1309,29407543.0
7265,17619860.0
1998,21444322.0
2555,27888525.0
